Sample Name,Target Name,C§ä
H358-LSH-N,U6,19.83159828
H358-LSH-C,U6,21.98012161
H358-LSH-T,U6,22.10152245
H358-VECTOR-N,U6,19.50271988
H358-VECTOR-C,U6,22.65901756
H358-VECTOR-T,U6,22.41751289
PC9-LSH-N,U6,18.741436
PC9-LSH-C,U6,22.02434731
PC9-LSH-T,U6,21.00241852
PC9-VECTOR-N,U6,18.71675491
PC9-VECTOR-C,U6,21.45471573
PC9-VECTOR-T,U6,20.82501411
H358-LSH-N,U6,19.73231888
H358-LSH-C,U6,22.30962181
H358-LSH-T,U6,21.91002464
H358-VECTOR-N,U6,19.76728249
H358-VECTOR-C,U6,22.80166245
H358-VECTOR-T,U6,22.37029076
PC9-LSH-N,U6,18.80094528
PC9-LSH-C,U6,21.85558891
PC9-LSH-T,U6,20.98949814
PC9-VECTOR-N,U6,18.62247658
PC9-VECTOR-C,U6,21.48599052
PC9-VECTOR-T,U6,20.912714
H358-LSH-N,U6,19.9303112
H358-LSH-C,U6,22.29194641
H358-LSH-T,U6,22.09592056
H358-VECTOR-N,U6,19.77771568
H358-VECTOR-C,U6,22.8139801
H358-VECTOR-T,U6,22.6268177
PC9-LSH-N,U6,18.88347244
PC9-LSH-C,U6,22.94781494
PC9-LSH-T,U6,21.14768791
PC9-VECTOR-N,U6,18.70095444
PC9-VECTOR-C,U6,22.03345299
PC9-VECTOR-T,U6,20.93225861
H358-LSH-N,GAPDH,18.36727905
H358-LSH-C,GAPDH,17.33309555
H358-LSH-T,GAPDH,17.38932991
H358-VECTOR-N,GAPDH,18.91433525
H358-VECTOR-C,GAPDH,17.83887482
H358-VECTOR-T,GAPDH,17.81023026
PC9-LSH-N,GAPDH,19.21908188
PC9-LSH-C,GAPDH,16.24154091
PC9-LSH-T,GAPDH,16.34343338
PC9-VECTOR-N,GAPDH,18.80221558
PC9-VECTOR-C,GAPDH,16.10045815
PC9-VECTOR-T,GAPDH,15.60641956
H358-LSH-N,GAPDH,18.31027222
H358-LSH-C,GAPDH,17.23217201
H358-LSH-T,GAPDH,17.41293526
H358-VECTOR-N,GAPDH,18.96006584
H358-VECTOR-C,GAPDH,17.92559624
H358-VECTOR-T,GAPDH,17.94913673
PC9-LSH-N,GAPDH,19.22775078
PC9-LSH-C,GAPDH,16.20287514
PC9-LSH-T,GAPDH,16.19200516
PC9-VECTOR-N,GAPDH,18.87899971
PC9-VECTOR-C,GAPDH,16.10886002
PC9-VECTOR-T,GAPDH,15.51542664
H358-LSH-N,GAPDH,18.24410057
H358-LSH-C,GAPDH,17.16368675
H358-LSH-T,GAPDH,17.10050774
H358-VECTOR-N,GAPDH,18.66429901
H358-VECTOR-C,GAPDH,17.6000824
H358-VECTOR-T,GAPDH,17.68766975
PC9-LSH-N,GAPDH,18.91341209
PC9-LSH-C,GAPDH,16.0897274
PC9-LSH-T,GAPDH,15.99484158
PC9-VECTOR-N,GAPDH,18.51808548
PC9-VECTOR-C,GAPDH,16.0264492
PC9-VECTOR-T,GAPDH,15.29824448
